Original Filename,Processed Filename,Plain Transcription,With Diacritics
200625-215447_yor_874_elicit_0.wav,200625-215447_yor_874_elicit_0_final.wav,"Oh, and you?","Oh, and you?"
200625-215447_yor_874_elicit_1.wav,200625-215447_yor_874_elicit_1_final.wav,"Odo, tù bag bag bi o yi sun re, bi gbe lup man yin bi.","Odo, tù bag bag bi o yi sun re, bi gbe lup man yin bi."
200625-215447_yor_874_elicit_11.wav,200625-215447_yor_874_elicit_11_final.wav,"Okolopo, orishi-orishi, onje yoribamu parelo, nipataki la arin anwotombe ilunla.","Okolopo, orishi-orishi, onje yoribamu parelo, nipataki la arin anwotombe ilunla."
200625-215447_yor_874_elicit_12.wav,200625-215447_yor_874_elicit_12_final.wav,"Owe yorobane ki agba do to de iliaye adi enje, adi enbun.","Owe yorobane ki agba do to de iliaye adi enje, adi enbun."
200625-215447_yor_874_elicit_16.wav,200625-215447_yor_874_elicit_16_final.wav,"Ne opo odun seyin i resi ki ishe onje ojojuman, shuk bonfun an wan omo i balode i resi bure di ati indome.","Ne opo odun seyin i resi ki ishe onje ojojuman, shuk bonfun an wan omo i balode i resi bure di ati indome."
200625-215447_yor_874_elicit_20.wav,200625-215447_yor_874_elicit_20_final.wav,Lo,Lo
200625-215447_yor_874_elicit_22.wav,200625-215447_yor_874_elicit_22_final.wav,Acilale,Acilale
200625-215447_yor_874_elicit_25.wav,200625-215447_yor_874_elicit_25_final.wav,Ni toyeyi o pobi kogi ayi lati she unje yuba.,Ni toyeyi o pobi kogi ayi lati she unje yuba.
200625-215447_yor_874_elicit_27.wav,200625-215447_yor_874_elicit_27_final.wav,"I alenu niwi kwe okwo anwa, siyo wa loke o kwe unje yoroba la uge ju anwa, siyo wa ne ile lo batake.","I alenu niwi kwe okwo anwa, siyo wa loke o kwe unje yoroba la uge ju anwa, siyo wa ne ile lo batake."
200625-215447_yor_874_elicit_29.wav,200625-215447_yor_874_elicit_29_final.wav,"O She She, bebi ino mwono mwono, ba She Dede, unja yu ba, yu ba yi store anwa o male She Oishi Oishi.","O She She, bebi ino mwono mwono, ba She Dede, unja yu ba, yu ba yi store anwa o male She Oishi Oishi."
